column,pct_missing
id,100.0
member_id,100.0
url,100.0
orig_projected_additional_accrued_interest,99.63
hardship_amount,99.53
hardship_dpd,99.53
hardship_loan_status,99.53
deferral_term,99.53
hardship_end_date,99.53
hardship_status,99.53
hardship_start_date,99.53
hardship_reason,99.53
hardship_type,99.53
hardship_payoff_balance_amount,99.53
hardship_last_payment_amount,99.53
hardship_length,99.53
payment_plan_start_date,99.53
debt_settlement_flag_date,98.54
settlement_term,98.54
settlement_amount,98.54
settlement_date,98.54
settlement_percentage,98.54
settlement_status,98.54
sec_app_mths_since_last_major_derog,98.41
sec_app_revol_util,95.3
revol_bal_joint,95.22
sec_app_earliest_cr_line,95.22
sec_app_mort_acc,95.22
sec_app_open_act_il,95.22
sec_app_num_rev_accts,95.22
sec_app_inq_last_6mths,95.22
sec_app_chargeoff_within_12_mths,95.22
sec_app_open_acc,95.22
sec_app_collections_12_mths_ex_med,95.22
verification_status_joint,94.88
dti_joint,94.66
annual_inc_joint,94.66
desc,94.42
mths_since_last_record,84.11
mths_since_recent_bc_dlq,77.01
mths_since_last_major_derog,74.31
mths_since_recent_revol_delinq,67.25
next_pymnt_d,57.66
mths_since_last_delinq,51.25
il_util,47.28
mths_since_rcnt_il,40.25
all_util,38.32
total_cu_tl,38.31
open_acc_6m,38.31
inq_last_12m,38.31
open_il_12m,38.31
total_bal_il,38.31
open_act_il,38.31
max_bal_bc,38.31
inq_fi,38.31
open_rv_12m,38.31
open_il_24m,38.31
open_rv_24m,38.31
mths_since_recent_inq,13.07
emp_title,7.39
num_tl_120dpd_2m,6.8
emp_length,6.5
mo_sin_old_il_acct,6.15
bc_util,3.36
percent_bc_gt_75,3.33
bc_open_to_buy,3.31
mths_since_recent_bc,3.25
pct_tl_nvr_dlq,3.12
avg_cur_bal,3.11
mo_sin_rcnt_rev_tl_op,3.11
mo_sin_old_rev_tl_op,3.11
num_rev_accts,3.11
tot_cur_bal,3.11
num_rev_tl_bal_gt_0,3.11
num_actv_rev_tl,3.11
num_accts_ever_120_pd,3.11
num_il_tl,3.11
mo_sin_rcnt_tl,3.11
num_tl_op_past_12m,3.11
total_rev_hi_lim,3.11
tot_coll_amt,3.11
num_op_rev_tl,3.11
total_il_high_credit_limit,3.11
num_tl_30dpd,3.11
num_actv_bc_tl,3.11
num_tl_90g_dpd_24m,3.11
num_bc_tl,3.11
tot_hi_cred_lim,3.11
num_bc_sats,2.59
num_sats,2.59
total_bc_limit,2.21
mort_acc,2.21
acc_open_past_24mths,2.21
total_bal_ex_mort,2.21
title,1.03
last_pymnt_d,0.11
revol_util,0.08
dti,0.08
pub_rec_bankruptcies,0.06
collections_12_mths_ex_med,0.01
chargeoff_within_12_mths,0.01
tax_liens,0.0
last_credit_pull_d,0.0
inq_last_6mths,0.0
total_acc,0.0
delinq_2yrs,0.0
acc_now_delinq,0.0
delinq_amnt,0.0
earliest_cr_line,0.0
pub_rec,0.0
open_acc,0.0
annual_inc,0.0
zip_code,0.0
loan_status,0.0
issue_d,0.0
verification_status,0.0
home_ownership,0.0
sub_grade,0.0
int_rate,0.0
installment,0.0
grade,0.0
funded_amnt_inv,0.0
funded_amnt,0.0
loan_amnt,0.0
term,0.0
policy_code,0.0
recoveries,0.0
total_rec_late_fee,0.0
last_pymnt_amnt,0.0
pymnt_plan,0.0
application_type,0.0
purpose,0.0
addr_state,0.0
revol_bal,0.0
out_prncp_inv,0.0
initial_list_status,0.0
out_prncp,0.0
total_rec_prncp,0.0
total_pymnt_inv,0.0
total_pymnt,0.0
total_rec_int,0.0
collection_recovery_fee,0.0
hardship_flag,0.0
disbursement_method,0.0
debt_settlement_flag,0.0
